Date,High,Low,Open,Close,Volume,Adj Close,moving_average,symbol,name,description
2018-10-31,70.30000305175781,66.0,68.4800033569336,68.0,507300,68.0,64.5063157332571,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-01,68.87999725341797,66.4800033569336,68.06999969482422,67.19999694824219,123800,67.19999694824219,64.64099979400635,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-02,67.5199966430664,63.25,67.5199966430664,64.5199966430664,236100,64.5199966430664,64.63523773919968,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-05,65.0,61.630001068115234,65.0,64.5,116000,64.5,64.62909056923606,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-06,67.43000030517578,64.0,64.3499984741211,67.05000305175781,138200,67.05000305175781,64.73434763369353,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-07,76.80000305175781,67.22000122070312,67.81999969482422,72.19999694824219,612000,72.19999694824219,65.04541635513306,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-08,75.9000015258789,71.23999786376953,71.98999786376953,73.01000213623047,316200,73.01000213623047,65.36399978637695,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-09,72.54000091552734,69.0,72.54000091552734,71.4000015258789,222000,71.4000015258789,65.59615369943472,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-12,72.52999877929688,63.5,71.61000061035156,66.5,171400,66.5,65.62962948834455,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-11-13,68.80000305175781,64.11000061035156,66.55000305175781,64.5199966430664,192600,64.5199966430664,65.58999974387032,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
